Input Size,Merge Sort,Selection Sort,Bubble Sort,Insertion Sort,Quick Sort,Heap Sort
0,0.0,0.0,0.0,,,
200,0.0007770061492919922,0.0036945343017578125,0.007307815551757813,,,
400,0.0018340349197387695,0.014681720733642578,0.028142237663269044,,,
600,0.002582812309265137,0.031334733963012694,0.061975407600402835,,,
800,0.003506755828857422,0.05705127716064453,0.11042332649230957,,,
1000,0.004449605941772461,0.09248099327087403,0.1787588119506836,,,
1200,0.005692911148071289,0.12882003784179688,0.24524927139282227,,,
1400,0.006739020347595215,0.17239909172058104,0.3555500030517578,,,
1600,0.007483458518981934,0.22970197200775147,0.45661466121673583,,,
1800,0.00848836898803711,0.29170894622802734,0.5643175840377808,,,
2000,0.009415531158447265,0.3512021780014038,0.6890069007873535,,,
2200,0.010718131065368652,0.4250554323196411,0.8309471368789673,,,
2400,0.011545395851135254,0.5035650968551636,0.9819599866867066,,,
2600,0.012728238105773925,0.589891505241394,1.1617947816848755,,,
2800,0.013855552673339844,0.688319206237793,1.361466360092163,,,
3000,0.014845657348632812,0.8333336591720581,1.5505538940429688,,,
